timestamp,fault_type,file,line,cpu_usage,mem_usage,probable_cause,severity,solution_hint,confidence,backtrace,solution,ml_prediction
"2026-04-21 16:44:02","Heap Corruption","",0,0,0,"Heap memory corruption detected","CRITICAL","Use GDB: gdb ./crash_simulator core -> bt",0.5,"Heap memory corruption detected","Analyse with crash_analyzer","Simulator record"
"2026-04-21 16:44:02",1776782642,4,"Heap Corruption",2570452092,"Intentional heap corruption with size 854322",7,3221226356,3,7,854322,true,true
